Region,Depth,Oil_Production_Rate,Extraction_Method,Water_Cut,Flaring_Emissions_MtCO2,Venting_Emissions_MtCO2,Methane_Emissions_MtCO2e
middle east,822.28,4341255.36,natural lift,63.83,5.75,3.24,1.14
south america,1020.49,3774.07,steam injection,68.87,5.61,3.02,1.76
south america,4696.41,1111.67,water flooding,3.47,6.18,0.71,2.07
europe,2545.52,2670661.04,fracking,54.64,9.32,1.55,9.99
africa,3703.82,159157.78,steam injection,49.12,6.14,3.82,5.79
north america,1200.54,1968853.87,natural lift,20.85,5.77,4.75,1.26
africa,3839.21,3938966.44,water flooding,70.03,5.53,0.82,8.82
europe,2405.82,4155076.53,fracking,95.57,8.47,2.71,4.83
asia,4675.25,1465277.25,steam injection,14.09,4.65,1.48,5.57
africa,1037.69,870585.87,fracking,72.04,3.4,0.91,2.48
europe,2821.46,3946.99,fracking,10.15,0.65,3.85,5.01
europe,954.26,1097.08,steam injection,85.0,7.6,1.39,2.03
middle east,1259.24,428.83,water flooding,21.36,3.63,1.39,0.98
europe,3461.51,619934.91,natural lift,98.52,3.17,3.13,1.55
asia,4234.36,172.72,natural lift,9.75,8.52,3.37,0.1
south america,2462.16,4388.31,steam injection,62.28,8.32,4.78,9.93
europe,1856.05,3879472.8,fracking,58.72,0.7,2.63,8.33
south america,3284.98,4460.12,steam injection,12.18,8.96,3.49,4.83
south america,3845.03,1397.71,steam injection,0.3,3.5,3.14,8.77
europe,4279.42,4403267.19,natural lift,11.97,4.19,4.12,3.23
middle east,3834.75,4533753.45,steam injection,12.09,0.06,4.93,8.12
europe,1209.1,3603783.55,fracking,35.14,0.85,2.82,1.47
asia,4647.2,2139904.4,steam injection,15.32,9.91,4.82,7.85
north america,4106.48,3570.86,water flooding,85.87,5.21,2.74,8.59
asia,3219.5,4264644.92,fracking,56.01,8.93,3.34,8.06
asia,3781.94,4635257.87,natural lift,35.19,3.01,2.18,3.6
middle east,4628.09,3629392.12,natural lift,12.74,8.94,2.61,5.59
middle east,2556.74,3855.75,natural lift,9.2,6.36,2.92,4.48
asia,3495.63,2044.34,steam injection,14.09,9.71,1.72,0.64
south america,1995.47,4433.4,natural lift,8.29,4.9,2.26,1.81
europe,1730.16,3921618.44,natural lift,65.43,5.64,4.81,1.38
middle east,582.08,3153.03,steam injection,47.35,5.71,1.47,6.28
africa,3181.24,284914.44,natural lift,43.69,2.93,3.23,9.45
south america,2047.13,3210298.93,natural lift,53.87,8.04,4.82,3.55
south america,3515.61,677078.41,natural lift,6.85,5.2,0.8,2.34
north america,1241.94,1519.71,natural lift,67.13,3.32,1.26,0.18
north america,621.13,3595.39,natural lift,55.69,5.78,3.37,7.21
north america,3256.7,1222.15,natural lift,28.45,8.19,2.75,5.68
south america,4398.56,1279339.45,natural lift,63.04,4.89,3.75,4.23
europe,3795.78,1337.44,fracking,21.24,2.06,2.27,4.6
africa,3370.86,4461924.58,steam injection,13.87,6.85,4.98,8.94
africa,2389.18,1657.42,fracking,19.39,3.67,3.28,7.84
europe,3385.16,2421.6,fracking,79.97,3.92,2.26,0.15
asia,1340.02,4127.1,water flooding,89.08,4.72,2.72,0.51
south america,3012.03,1170866.72,natural lift,84.02,0.23,2.47,9.57
north america,3196.13,4430.59,water flooding,2.4,9.19,4.82,1.41
middle east,4307.42,1412180.76,steam injection,63.61,8.74,0.15,1.26
north america,1382.32,3443.77,water flooding,75.62,6.7,4.14,7.73
asia,3534.3,3944417.8,water flooding,36.52,7.62,1.79,0.78
africa,868.2,58190.82,steam injection,43.83,5.55,4.66,0.3
middle east,1158.14,515.87,steam injection,76.99,7.85,4.1,2.72
middle east,1853.71,4006.07,steam injection,77.27,9.8,1.92,1.15
europe,3228.98,1977410.63,steam injection,55.43,8.47,4.72,6.6
asia,2268.18,231.6,steam injection,10.93,1.62,3.33,6.77
north america,3637.42,1276.67,water flooding,27.03,5.89,1.31,3.16
europe,4651.65,148.81,natural lift,25.21,6.79,0.49,9.51
asia,630.62,1615802.43,fracking,57.54,2.43,0.22,5.98
asia,3116.2,1941.54,natural lift,70.23,5.56,2.74,3.83
europe,3163.28,2213.11,water flooding,14.43,9.22,4.61,9.72
europe,2121.56,1372.29,natural lift,70.01,1.06,4.89,1.06
europe,3792.03,3788520.04,natural lift,18.86,9.56,3.94,8.63
north america,1562.29,3033877.5,steam injection,17.53,3.23,2.73,4.78
middle east,1378.25,1199799.23,water flooding,23.46,2.74,3.86,2.69
south america,3602.46,4993.51,natural lift,42.66,1.1,3.9,3.73
europe,1885.63,4719187.85,natural lift,3.3,4.06,3.12,9.38
europe,4675.48,4252830.2,steam injection,40.58,8.48,3.63,6.94
asia,662.81,3245.78,water flooding,39.55,2.52,3.42,6.97
africa,3582.39,3944.73,water flooding,37.76,5.18,1.87,5.56
middle east,2635.14,602.84,natural lift,20.61,7.91,3.23,5.47
north america,1924.0,3487702.92,steam injection,29.0,0.47,1.29,1.5
south america,4223.57,230125.34,fracking,55.07,6.48,1.16,4.92
north america,3370.6,1691900.36,water flooding,97.03,0.14,2.99,8.81
north america,4644.31,4336.34,steam injection,22.04,2.35,3.35,3.28
europe,907.52,4846715.42,steam injection,1.36,1.47,3.01,2.04
europe,4656.53,1136.78,fracking,81.66,6.61,4.71,3.17
south america,3040.03,2548090.52,natural lift,96.78,5.76,4.72,6.07
asia,1196.64,4337.18,fracking,50.07,0.74,2.39,3.13
africa,4026.13,1068.6,fracking,73.5,1.2,1.14,5.49
africa,1670.3,3653.77,steam injection,43.15,5.69,1.01,1.46
south america,2412.01,3675.13,water flooding,66.69,2.99,0.52,4.06
middle east,1169.46,2187444.58,steam injection,10.64,3.04,1.85,9.82
south america,1751.03,2293828.28,fracking,59.51,0.78,4.98,4.1
africa,4922.11,1948.49,natural lift,95.41,0.41,3.03,9.9
africa,4502.64,1521903.31,natural lift,98.66,6.37,3.62,8.3
middle east,1862.06,3620.35,steam injection,17.81,1.89,2.97,9.86
asia,3395.18,4784397.51,steam injection,59.86,0.03,1.47,8.88
europe,3108.73,3086475.71,fracking,35.48,4.36,1.96,0.1
middle east,2291.57,1668.29,natural lift,53.69,0.8,4.28,2.47
asia,1571.74,1575060.32,fracking,65.08,1.91,4.35,3.61
europe,3525.06,3290396.45,fracking,4.17,4.39,2.74,4.25
europe,2324.9,4368773.32,water flooding,91.19,4.03,1.35,2.26
africa,1880.58,3862206.37,water flooding,49.0,3.81,3.4,0.37
asia,4201.4,3640563.06,fracking,7.57,8.72,1.77,7.91
north america,1845.52,2229132.7,fracking,70.79,8.07,1.18,7.36
europe,1962.78,1113.95,steam injection,65.69,1.25,2.77,1.1
asia,4596.11,696.42,steam injection,85.62,2.82,0.32,6.75
north america,4284.96,404.02,steam injection,72.68,9.76,2.35,7.07
north america,1463.79,175342.03,fracking,25.98,0.6,0.71,2.5
europe,687.1,4554563.9,natural lift,43.17,2.43,3.35,8.71
africa,3566.52,1768.27,natural lift,49.53,0.62,3.14,5.18
south america,3016.34,3002.98,water flooding,2.95,0.15,2.15,4.81
middle east,3278.1,133260.41,fracking,5.37,4.0,2.95,3.98
europe,501.25,1000.88,fracking,30.71,7.38,3.68,9.25
middle east,1358.48,3361.84,natural lift,16.14,4.53,2.17,0.92
europe,2215.94,1393927.84,water flooding,41.03,1.73,2.08,0.88
asia,2601.99,1495.22,natural lift,97.53,4.01,4.34,1.83
asia,4471.87,1261.55,fracking,83.68,3.51,4.49,1.65
asia,1091.03,107135.52,water flooding,1.92,3.28,0.84,8.27
europe,2245.91,1490976.81,fracking,14.05,7.54,4.09,1.59
asia,4649.67,4578.23,fracking,24.44,5.73,4.89,5.66
europe,595.36,2693627.01,water flooding,70.29,0.63,0.61,7.16
middle east,2177.05,3160.86,natural lift,92.66,3.48,0.71,1.39
europe,1298.42,2873.06,fracking,54.73,4.93,2.88,4.24
asia,2813.37,398546.74,fracking,75.46,8.2,3.39,9.38
south america,2339.98,717044.6,steam injection,84.73,6.04,4.28,2.09
africa,3358.57,862698.98,natural lift,94.3,9.56,0.19,2.45
africa,2102.92,2824598.01,fracking,58.92,5.96,1.38,7.62
north america,3242.24,3369971.1,steam injection,19.66,7.87,3.04,0.8
middle east,4997.68,2581.58,water flooding,95.71,4.62,2.53,6.41
europe,4147.07,295998.65,fracking,30.67,4.31,2.25,2.6
middle east,604.15,1525358.99,steam injection,0.24,4.96,4.29,7.12
asia,4665.01,4483097.21,steam injection,14.49,1.92,4.55,0.75
asia,2456.66,4957176.99,steam injection,43.61,6.7,3.3,6.14
asia,3571.47,3894677.01,steam injection,58.41,6.51,4.08,5.83
north america,2285.72,884.88,fracking,14.58,6.12,2.65,9.41
middle east,1163.43,1031.7,water flooding,88.0,2.89,3.24,5.23
europe,3560.12,3129937.35,fracking,5.13,7.62,1.09,7.35
asia,2055.72,4771.07,steam injection,22.13,0.31,3.33,1.78
north america,4553.54,3277.62,steam injection,76.29,3.33,3.74,2.93
north america,3743.79,3242.07,steam injection,24.02,4.31,3.81,2.8
europe,2527.16,4613.09,fracking,84.08,3.48,4.23,8.82
europe,750.95,1057.62,natural lift,10.56,8.34,1.95,9.07
south america,2544.5,3551670.21,water flooding,52.19,8.09,2.55,8.46
south america,3898.29,2424.11,natural lift,5.68,2.26,0.9,5.15
middle east,3235.42,3561.9,natural lift,64.01,2.84,1.28,3.07
asia,2315.97,3075269.02,natural lift,44.44,6.37,1.81,6.47
asia,2808.0,1427973.18,water flooding,39.29,6.29,1.15,6.53
asia,4220.38,4079.47,steam injection,69.77,6.14,1.45,7.59
africa,4795.74,1699571.31,natural lift,81.05,8.86,0.86,0.95
europe,3282.18,1207.3,fracking,16.6,5.2,2.7,6.65
asia,3108.76,4862.73,water flooding,86.96,8.46,1.33,3.09
south america,1262.9,1184349.78,fracking,88.5,7.36,4.27,6.79
africa,3600.23,3584.49,fracking,26.61,3.72,0.96,1.05
middle east,4496.29,585.34,steam injection,19.41,3.9,3.03,5.61
south america,3254.06,959.08,natural lift,12.65,9.09,4.55,7.61
africa,4289.38,3106.04,fracking,64.26,8.11,0.96,0.67
middle east,787.08,3179367.58,natural lift,80.01,0.69,4.06,2.03
north america,848.87,2951120.34,natural lift,15.19,4.77,4.36,5.8
middle east,1544.46,4060036.74,water flooding,55.73,2.58,3.77,6.85
africa,3660.1,2358.79,fracking,10.01,6.51,2.95,1.5
asia,4809.29,2690.57,steam injection,6.48,6.2,3.99,7.34
europe,4664.71,2623.11,fracking,70.35,8.43,4.76,4.16
europe,3744.08,4819.16,steam injection,43.44,1.14,4.56,2.47
middle east,1095.02,3092.1,steam injection,22.75,5.08,2.22,7.29
north america,4509.44,2084.19,fracking,23.16,9.32,0.19,3.04
south america,919.09,4735.86,water flooding,15.58,9.54,0.33,9.99
south america,2496.42,602471.55,steam injection,84.2,4.79,0.42,0.33
north america,802.17,4789818.34,fracking,65.32,6.97,3.43,2.52
asia,1469.25,4447653.38,water flooding,53.25,0.88,2.95,5.63
middle east,3047.37,3188750.76,natural lift,38.98,5.37,3.09,8.5
africa,4713.39,4178229.78,water flooding,50.89,4.17,3.73,3.52
south america,1233.86,3216687.63,steam injection,29.92,6.01,2.04,7.39
south america,4908.38,3975.15,steam injection,24.25,8.16,3.05,9.98
middle east,2924.6,4205280.6,steam injection,25.65,2.03,1.76,3.67
north america,4517.88,3631.77,steam injection,76.42,7.06,2.95,2.69
middle east,4134.11,3097.3,natural lift,41.56,4.25,0.62,9.25
africa,2689.29,976.83,steam injection,74.97,4.53,1.32,5.18
asia,2337.4,2513408.5,water flooding,15.24,1.21,2.28,4.89
middle east,885.63,3519.16,water flooding,65.2,4.97,3.54,9.73
africa,1100.57,1398.28,fracking,3.68,4.92,4.09,8.92
europe,3672.6,1119266.05,steam injection,45.26,6.28,2.84,1.34
africa,4972.66,4194204.7,water flooding,48.69,2.19,4.79,8.73
middle east,3578.01,1054379.17,water flooding,64.15,3.23,0.61,9.22
middle east,976.42,2573071.62,natural lift,14.97,3.22,1.48,8.06
africa,4590.45,2326354.35,steam injection,52.58,8.35,2.66,6.55
asia,3743.3,3702553.44,natural lift,52.21,3.97,0.35,8.54
south america,3460.15,4547.64,fracking,59.34,6.3,1.56,2.44
africa,3454.37,4783.86,natural lift,22.43,1.01,2.47,2.47
asia,4877.74,1557.29,fracking,15.42,3.68,4.2,1.63
north america,4945.24,2626825.95,natural lift,70.66,1.34,2.37,8.85
south america,2465.13,3890281.78,water flooding,43.35,8.43,4.44,0.23
asia,1540.44,911634.79,natural lift,39.74,0.05,3.86,3.81
middle east,1813.01,1135.06,fracking,65.57,7.69,2.06,5.1
asia,3958.73,1164976.71,water flooding,31.26,9.83,3.93,9.1
africa,3240.26,1267.92,fracking,66.08,0.77,3.52,4.99
asia,1783.65,4884.19,water flooding,45.8,5.74,3.52,3.46
middle east,758.09,1705115.7,natural lift,20.22,7.43,1.93,1.63
asia,2861.63,3034.92,water flooding,79.25,8.79,3.86,5.1
north america,2834.64,979052.15,natural lift,38.01,1.23,1.72,2.05
asia,1238.78,4353830.92,natural lift,18.1,2.85,0.71,1.93
asia,3620.04,672.8,water flooding,77.7,2.76,0.54,7.84
africa,1724.71,954529.71,natural lift,18.0,2.08,1.29,1.51
south america,4011.01,3664998.91,water flooding,99.87,9.49,1.01,3.3
asia,3428.46,3766588.57,natural lift,30.59,7.66,1.11,9.99
asia,3873.5,1625260.16,fracking,73.11,6.63,1.91,1.77
middle east,1131.12,1697399.58,fracking,34.29,0.72,2.32,3.93
south america,2103.06,1226.92,steam injection,39.7,9.76,2.87,0.12
asia,4505.13,1559841.98,steam injection,73.32,3.27,2.97,2.97
asia,3479.77,3498330.71,fracking,73.95,7.91,4.98,2.62
middle east,3711.63,3007.11,steam injection,93.61,2.23,3.84,4.23
africa,3143.32,1377.8,steam injection,32.8,8.43,1.25,5.51
middle east,3285.05,3890536.64,water flooding,50.9,8.44,2.71,1.37
south america,2783.28,967.31,water flooding,63.01,5.08,3.11,9.26
middle east,521.13,562.52,water flooding,21.84,3.4,2.25,0.77
europe,926.02,2082404.48,natural lift,91.03,0.56,1.17,5.82
north america,975.15,1016611.05,fracking,48.73,3.85,0.32,5.63
north america,3882.6,3368143.06,fracking,43.61,6.78,2.09,3.34
asia,2738.85,3587.7,water flooding,87.77,1.1,3.16,4.09
south america,1283.74,2348.43,water flooding,71.51,9.9,0.04,5.83
middle east,4200.96,4221082.69,natural lift,66.2,4.27,0.72,4.7
north america,3284.66,4745.68,fracking,83.27,5.28,3.84,8.1
south america,1770.1,3449.63,fracking,38.14,0.24,1.49,6.57
africa,515.7,3678825.59,water flooding,89.05,0.36,2.86,3.0
south america,2764.11,1844.91,water flooding,93.38,1.84,4.83,5.54
middle east,2704.93,2816910.53,steam injection,4.76,4.4,1.75,2.08
europe,3894.41,3204.95,fracking,50.85,5.49,2.71,3.48
asia,4739.55,2127120.47,fracking,59.13,4.72,1.41,0.93
south america,2286.7,2325.51,water flooding,63.75,4.56,0.76,3.1
south america,2119.44,662.39,fracking,53.58,9.95,1.58,9.27
south america,856.18,656.84,natural lift,5.34,9.55,1.05,0.14
south america,2212.64,4727.98,steam injection,61.17,7.93,2.51,3.99
asia,1833.27,1510.45,steam injection,59.95,9.77,3.79,7.16
north america,918.21,4364214.43,steam injection,43.32,5.45,1.95,3.52
south america,4718.96,3698.09,fracking,53.75,1.97,2.9,9.74
north america,2404.5,4110500.14,steam injection,0.38,0.87,3.01,0.75
africa,1752.73,163371.54,water flooding,86.73,3.42,4.09,9.1
north america,2808.05,3642705.84,water flooding,59.46,3.4,3.98,5.87
north america,2057.97,2480510.16,water flooding,24.49,6.84,0.49,0.46
asia,899.47,636269.16,natural lift,1.42,5.42,4.38,3.26
africa,4339.18,1021.47,fracking,82.43,0.92,2.8,0.97
south america,4805.71,2985055.6,steam injection,38.06,4.85,3.22,0.34
middle east,2507.77,2400968.61,natural lift,82.02,6.48,3.28,3.67
middle east,4695.46,3005103.66,water flooding,86.97,9.21,4.64,5.55
middle east,792.88,1887364.6,fracking,25.34,3.51,3.6,2.21
south america,1848.35,4909177.36,natural lift,97.45,3.77,4.14,3.98
middle east,4628.38,537.84,steam injection,79.56,2.42,2.59,0.75
middle east,900.72,858913.0,steam injection,68.8,6.71,1.62,3.41
south america,3141.4,4332012.02,natural lift,79.68,1.76,0.39,7.66
africa,3103.45,3928394.99,fracking,10.54,0.98,3.59,7.17
africa,1903.36,4000771.01,steam injection,21.24,3.31,0.59,5.52
south america,2662.94,4312513.44,steam injection,15.36,0.25,2.33,7.82
asia,3781.32,85050.02,fracking,30.99,4.04,2.59,0.06
asia,4346.3,2694179.14,steam injection,76.92,2.49,0.08,2.65
north america,1322.46,1403183.57,water flooding,59.04,7.75,3.01,9.61
middle east,1797.39,1475812.66,water flooding,24.35,8.83,2.12,8.7
south america,961.72,3972.9,natural lift,88.01,2.25,2.07,0.43
middle east,1747.92,1475871.29,steam injection,62.38,5.01,2.83,1.06
north america,2227.24,4677987.23,natural lift,76.93,1.82,0.08,5.92
middle east,2098.36,3756068.28,natural lift,53.85,8.04,0.66,4.23
south america,2586.89,4166309.07,fracking,33.29,5.23,4.18,4.6
europe,2949.82,1471.19,steam injection,84.3,5.65,4.94,9.71
middle east,1926.12,4092.44,natural lift,66.28,3.19,0.61,8.52
asia,2511.92,2885.92,steam injection,29.43,3.49,1.6,4.79
north america,2519.96,3787.52,water flooding,88.01,2.38,2.93,3.38
asia,2617.27,1054.95,water flooding,44.62,2.4,0.32,6.66
asia,4904.53,1601267.98,steam injection,66.33,8.36,1.21,3.34
middle east,4075.09,1138580.53,natural lift,91.38,4.47,2.68,1.83
middle east,4399.15,2919527.04,water flooding,30.06,9.78,1.6,8.56
middle east,2923.68,493.69,natural lift,88.46,5.66,4.35,5.56
south america,4792.21,4560.99,water flooding,18.33,4.92,1.2,5.53
middle east,3966.39,2571979.08,steam injection,1.23,4.23,0.44,5.04
asia,2573.31,139473.0,water flooding,46.48,4.56,1.29,6.88
middle east,4875.32,1580.4,natural lift,90.73,3.16,0.87,2.92
middle east,4539.89,1208580.5,steam injection,49.38,9.49,4.06,1.0
south america,698.13,3953218.04,natural lift,98.61,8.11,2.93,2.12
north america,2919.63,3805.07,water flooding,67.29,1.18,2.67,8.78
africa,3325.42,2997587.63,fracking,3.78,7.11,3.78,8.0
asia,3442.8,163.18,natural lift,52.0,7.45,3.63,4.12
south america,4774.21,2352169.97,steam injection,10.45,8.94,3.88,3.24
middle east,1208.55,3235.77,fracking,65.13,7.39,4.11,7.31
south america,2872.5,4337.86,natural lift,65.39,0.98,3.85,0.74
europe,4472.27,500700.94,natural lift,54.25,9.82,0.13,8.21
south america,1570.76,3170131.66,steam injection,23.39,9.05,1.35,0.05
asia,835.64,1417204.41,water flooding,6.09,3.11,1.18,1.11
north america,4468.25,4391925.43,natural lift,63.83,5.03,4.79,1.36
south america,1733.83,4657485.42,natural lift,40.33,3.3,2.97,9.58
africa,1858.85,3035.88,natural lift,88.47,3.36,3.45,8.79
north america,4583.16,4954.68,natural lift,29.13,2.47,4.45,7.6
asia,1141.07,4066831.37,natural lift,15.99,1.36,0.2,1.79
south america,2555.95,2688532.3,steam injection,75.55,8.71,0.13,2.53
africa,4841.69,82.63,steam injection,68.48,0.06,3.59,4.18
north america,2366.39,2169.47,fracking,80.98,9.62,0.5,5.25
europe,4653.45,4171.64,fracking,54.08,3.25,2.08,6.19
asia,1705.81,1062.96,natural lift,28.4,3.23,2.52,1.18
africa,3949.26,3199387.4,steam injection,91.97,9.12,3.81,8.55
europe,1980.99,3946.92,water flooding,16.04,0.54,4.16,7.31
south america,2653.34,3009490.97,fracking,41.32,2.43,2.07,1.79
middle east,3474.41,54631.68,natural lift,98.09,5.49,2.98,3.86
africa,3092.16,2484.4,fracking,67.05,3.61,0.91,7.82
north america,4788.67,2004913.82,natural lift,52.02,3.27,1.71,3.72
asia,3667.35,2436.63,fracking,60.12,0.13,3.53,3.26
middle east,4298.16,3199993.18,steam injection,91.51,2.1,0.5,8.63
asia,3846.97,2778.01,fracking,41.71,2.79,4.31,3.66
north america,1016.52,1441.36,fracking,68.73,6.87,2.55,3.37
south america,3222.51,3593.3,natural lift,87.98,5.59,4.83,3.2
asia,2008.69,2975.67,fracking,2.94,2.6,0.5,3.1
middle east,4368.21,3159.06,steam injection,69.64,0.06,4.7,0.77
africa,2394.4,1758109.51,water flooding,89.29,6.11,1.49,9.69
middle east,4362.99,1662715.99,steam injection,91.3,9.53,2.07,7.41
south america,4864.72,358.32,steam injection,33.03,1.82,3.96,9.77
asia,4836.56,177619.25,natural lift,8.59,0.45,2.13,6.8
africa,3206.78,4261973.55,fracking,3.85,3.8,3.5,9.66
middle east,4294.51,287.04,fracking,60.0,9.16,2.97,7.04
north america,4277.8,4541073.74,natural lift,60.36,7.65,2.33,7.57
europe,2625.89,2917.39,fracking,68.79,8.73,0.84,1.0
middle east,3737.92,4125.75,fracking,1.21,1.08,2.43,1.82
north america,1862.16,1336.6,natural lift,74.38,4.42,1.93,6.8
north america,2054.98,2024.76,steam injection,68.76,3.17,3.95,2.95
middle east,2501.54,497.35,natural lift,88.79,2.14,4.75,1.01
asia,3417.12,3711825.37,fracking,1.51,8.64,4.68,2.23
north america,922.01,2564972.82,natural lift,30.74,2.7,0.19,0.48
north america,843.5,1328.67,fracking,69.81,3.17,2.48,6.41
africa,3622.92,4271221.49,water flooding,90.19,4.1,2.79,9.67
europe,4981.43,3497280.36,fracking,93.67,8.41,1.73,1.93
middle east,902.45,3000518.27,fracking,96.46,7.61,0.9,7.39
europe,2304.99,3134.56,fracking,30.97,0.82,0.7,4.33
asia,2247.84,211.2,natural lift,27.24,7.53,2.17,5.12
north america,2469.45,4619.1,fracking,20.79,9.64,2.91,6.47
south america,2896.16,3111.11,water flooding,37.54,0.72,1.12,1.71
middle east,3346.61,3617343.21,steam injection,78.33,9.52,4.07,1.3
europe,1343.14,1535.43,water flooding,76.25,3.66,2.93,3.52
middle east,2119.54,2626913.05,water flooding,82.24,7.34,4.22,6.81
middle east,4383.4,3791614.49,natural lift,31.47,0.98,3.54,7.46
south america,3057.93,549604.43,water flooding,81.71,6.35,3.6,0.09
asia,3158.81,1777034.82,fracking,95.4,4.21,1.03,3.14
middle east,4162.28,4817475.94,natural lift,59.82,4.11,1.01,2.3
north america,3864.09,3707.05,natural lift,64.88,2.35,4.09,4.73
south america,1545.22,3480445.53,fracking,59.36,6.3,4.53,8.02
north america,4372.41,3680583.08,fracking,80.01,5.3,1.85,1.39
south america,1271.35,2035.84,natural lift,79.71,9.57,0.34,4.33
asia,3700.97,579.98,fracking,37.34,0.56,4.76,9.26
north america,637.79,2915193.48,steam injection,11.5,8.52,0.18,6.92
north america,2361.22,4745860.25,steam injection,50.7,8.77,2.47,0.68
asia,1814.03,2216.15,water flooding,3.07,6.07,0.72,7.16
asia,1848.41,3505.33,water flooding,45.11,8.45,3.33,3.6
south america,4003.77,1504.81,steam injection,81.05,0.98,4.18,9.48
middle east,1585.72,1812.86,fracking,80.79,1.79,0.2,2.92
north america,2261.65,3685.12,water flooding,26.9,1.09,3.04,1.98
africa,4344.15,192163.71,water flooding,31.23,0.01,4.76,2.25
south america,3470.3,375.77,steam injection,57.97,7.55,4.89,8.61
europe,3519.12,1796657.81,water flooding,39.56,6.2,3.77,0.96
europe,1882.96,3169.77,fracking,28.65,5.46,4.31,0.13
africa,1816.94,1103.65,water flooding,58.82,3.59,2.31,8.88
europe,3374.41,1459.8,fracking,26.19,1.4,3.23,0.43
asia,3753.26,4464195.07,steam injection,42.9,1.59,0.96,8.81
north america,4558.43,1399415.12,natural lift,62.41,5.38,2.54,3.69
europe,3072.19,4078911.92,steam injection,48.67,6.52,4.97,2.64
europe,4987.75,454756.57,water flooding,39.69,6.48,4.5,6.37
asia,2219.18,1134464.51,water flooding,49.9,5.97,0.65,9.47
middle east,2259.25,4329836.66,steam injection,11.83,4.35,4.6,0.8
middle east,4960.11,3939.59,fracking,6.54,5.1,0.89,9.39
europe,3671.07,236419.17,steam injection,30.75,6.1,0.09,8.07
north america,4624.05,2021366.23,natural lift,24.04,9.33,4.17,0.93
africa,4629.44,1846110.15,water flooding,36.75,9.98,2.14,9.85
north america,4509.05,2584.04,steam injection,95.37,0.48,2.8,8.99
africa,4590.5,4164632.59,steam injection,35.82,3.42,2.64,8.32
south america,3226.13,4800.48,water flooding,70.26,7.42,0.1,3.06
south america,4622.81,1352882.92,water flooding,0.15,4.06,1.98,8.5
europe,4249.34,871.44,water flooding,1.02,0.51,0.49,7.53
asia,2282.54,4398923.03,natural lift,87.75,3.21,0.15,7.45
africa,1132.29,3584.86,water flooding,51.26,7.44,3.27,4.43
asia,3603.53,2618425.5,water flooding,5.29,2.85,2.45,9.33
asia,4960.11,1281.17,water flooding,9.29,7.94,1.28,6.17
middle east,880.77,3407.29,water flooding,53.48,3.08,1.35,6.35
europe,1880.45,4642294.98,steam injection,57.66,0.28,1.78,1.57
middle east,3869.3,2000.2,steam injection,24.92,6.74,1.9,3.22
europe,1534.33,1156781.57,natural lift,87.22,7.82,0.38,4.3
asia,3825.7,1010172.67,fracking,98.28,7.57,0.25,4.24
asia,2207.98,4238.21,steam injection,53.06,1.92,3.78,9.01
africa,3790.0,4075.35,steam injection,21.12,8.59,0.98,3.87
north america,3851.95,4585116.97,fracking,77.46,5.66,0.15,6.33
south america,707.29,4657708.76,steam injection,45.91,7.69,4.09,1.48
south america,2511.3,895897.34,fracking,2.22,2.08,4.56,7.84
africa,2319.42,3584.46,water flooding,18.42,6.59,1.93,1.21
south america,4202.6,376.99,water flooding,31.83,2.36,0.37,4.15
north america,2568.12,2273.52,natural lift,64.76,7.27,3.35,3.48
africa,4389.88,4934216.07,steam injection,75.31,6.84,0.21,8.92
asia,2658.5,4997902.59,steam injection,37.91,5.81,0.73,6.25
asia,2586.03,4361.36,water flooding,66.48,2.75,3.96,2.7
europe,4875.69,3684008.15,natural lift,52.2,7.97,1.23,7.09
middle east,3913.28,572845.17,fracking,56.19,9.89,4.42,1.0
europe,2067.15,2047.96,fracking,24.5,3.69,0.54,7.17
south america,4491.41,3711.54,fracking,38.48,5.93,3.3,3.28
south america,2095.09,3322.51,steam injection,17.67,5.98,0.08,0.12
africa,1000.47,4731689.61,water flooding,46.01,2.84,0.35,8.72
europe,4039.99,2077207.12,natural lift,83.7,5.36,2.29,5.14
asia,3167.99,1989.21,natural lift,74.65,9.49,0.26,9.85
africa,4087.18,3889.28,fracking,6.39,8.69,0.51,2.94
asia,1445.72,2896.77,water flooding,82.88,1.11,3.8,5.47
middle east,973.31,4697.05,fracking,62.24,3.46,3.91,2.52
middle east,2227.74,3178789.16,fracking,74.51,9.6,1.98,4.11
south america,2414.68,4137.05,natural lift,67.04,3.02,1.24,8.85
europe,1146.0,2054.0,fracking,67.34,2.44,3.49,6.42
south america,4290.46,1477.2,water flooding,44.35,6.72,1.79,7.33
africa,4868.17,2592.0,water flooding,78.1,9.32,1.63,7.34
africa,3614.13,674.39,water flooding,2.67,2.17,0.48,2.73
north america,3289.13,1655.11,water flooding,46.4,7.27,4.26,3.2
asia,2409.09,3635363.32,steam injection,61.87,1.02,0.97,3.12
africa,721.09,1296.86,steam injection,67.63,5.33,4.46,0.17
africa,1487.4,1023.12,fracking,70.07,1.69,1.95,4.75
south america,4773.23,614473.52,fracking,47.86,5.85,0.99,2.26
north america,4959.49,1104.51,steam injection,4.04,9.48,4.65,7.76
north america,848.17,2568.67,water flooding,20.99,2.55,0.58,6.72
africa,4867.99,692.95,natural lift,93.2,2.03,1.8,1.06
south america,2770.88,1804.58,water flooding,36.86,3.58,0.55,9.65
south america,4161.64,3803.28,water flooding,88.47,1.13,3.47,4.77
africa,3328.05,4566196.83,fracking,90.19,8.55,1.55,0.03
